fecha_registro,planta,caudal_entrada_m3_d,DBO_entrada_mg_L,DBO_salida_mg_L,eficiencia_remocion_DBO_pct
2025-09-15,Planta Sur,4269,274,33.5,87.77
2025-09-15,Planta Sur,3710,270,34.4,87.26
2025-09-15,Planta Centro,6157,257,36.1,85.95
2025-09-15,Planta Norte,4099,318,33.9,89.34
2025-09-16,Planta Norte,4100,303,39.2,87.06
2025-09-17,Planta Norte,6510,346,45.0,86.99
2025-09-18,Planta Sur,5311,352,52.5,85.09
2025-09-18,Planta Sur,2934,186,25.8,86.13
2025-09-20,Planta Centro,3577,217,26.0,88.02
2025-09-20,Planta Norte,6839,382,38.2,90.0
2025-09-22,Planta Sur,2902,386,51.2,86.74
2025-09-22,Planta Sur,6265,246,39.9,83.78
2025-09-22,Planta Norte,4714,308,31.7,89.71
2025-09-24,Planta Sur,4705,334,28.5,91.47
2025-09-24,Planta Sur,3144,220,23.1,89.5
2025-09-25,Planta Centro,5023,327,56.9,82.6
2025-09-26,Planta Norte,4377,366,64.3,82.43
2025-09-26,Planta Norte,4680,243,34.2,85.93
2025-09-26,Planta Sur,4920,190,30.3,84.05
2025-09-28,Planta Norte,3558,251,19.8,92.11
2025-09-29,Planta Norte,5049,365,47.6,86.96
2025-09-29,Planta Centro,5084,190,16.2,91.47
2025-09-30,Planta Centro,3534,237,25.4,89.28
2025-09-30,Planta Norte,1500,294,45.4,84.56
2025-09-30,Planta Centro,3525,138,16.7,87.9
2025-10-01,Planta Centro,5561,255,22.5,91.18
2025-10-01,Planta Sur,3868,240,28.2,88.25
2025-10-01,Planta Sur,5014,246,37.7,84.67
2025-10-01,Planta Sur,4672,395,60.0,84.81
2025-10-01,Planta Centro,7037,370,29.0,92.16
2025-10-02,Planta Sur,5157,341,56.0,83.58
2025-10-02,Planta Sur,3182,283,37.5,86.75
2025-10-02,Planta Sur,3928,220,28.2,87.18
2025-10-02,Planta Centro,5116,282,52.5,81.38
2025-10-05,Planta Centro,4992,320,35.6,88.88
2025-10-06,Planta Centro,7085,177,15.9,91.02
2025-10-06,Planta Norte,3639,325,29.5,90.92
2025-10-06,Planta Norte,3103,294,38.4,86.94
2025-10-07,Planta Centro,5423,278,19.2,93.09
2025-10-08,Planta Centro,2229,352,51.0,85.51
2025-10-09,Planta Centro,7150,304,38.1,87.47
2025-10-09,Planta Sur,5131,240,32.3,86.54
2025-10-10,Planta Norte,6094,177,23.0,87.01
2025-10-11,Planta Norte,6303,189,23.3,87.67
2025-10-11,Planta Norte,4878,201,28.6,85.77
2025-10-12,Planta Centro,5598,248,30.5,87.7
2025-10-13,Planta Centro,4798,341,42.1,87.65
2025-10-13,Planta Sur,6591,298,39.8,86.64
2025-10-14,Planta Centro,5010,254,26.5,89.57
2025-10-14,Planta Norte,3263,338,55.2,83.67
2025-10-14,Planta Norte,5212,267,24.7,90.75
2025-10-14,Planta Sur,3874,352,28.5,91.9
2025-10-14,Planta Norte,4612,413,61.3,85.16
2025-10-15,Planta Centro,5176,292,45.9,84.28
2025-10-15,Planta Centro,5254,325,44.1,86.43
2025-10-15,Planta Norte,3196,130,20.0,84.62
2025-10-16,Planta Norte,4245,174,20.9,87.99
2025-10-16,Planta Centro,5061,198,29.3,85.2
2025-10-19,Planta Centro,1973,314,35.4,88.73
2025-10-19,Planta Norte,7003,343,51.6,84.96
2025-10-19,Planta Norte,5886,307,54.1,82.38
2025-10-19,Planta Centro,4295,164,14.5,91.16
2025-10-20,Planta Centro,5956,223,26.9,87.94
2025-10-20,Planta Norte,5303,125,18.6,85.12
2025-10-21,Planta Norte,6095,261,40.7,84.41
2025-10-22,Planta Sur,6711,258,44.0,82.95
2025-10-25,Planta Norte,7359,432,76.8,82.22
2025-10-26,Planta Centro,2965,340,50.4,85.18
2025-10-27,Planta Centro,6840,216,38.0,82.41
2025-10-27,Planta Centro,6440,292,25.7,91.2
2025-10-28,Planta Norte,6506,212,32.9,84.48
2025-10-28,Planta Centro,4836,322,55.5,82.76
